iter	Passed	Remaining
0	0	757
1	1	705
2	2	673
3	2	667
4	3	660
5	3	657
6	4	653
7	5	650
8	5	652
9	6	647
10	7	645
11	7	648
12	8	649
13	9	651
14	9	652
15	10	652
16	11	652
17	12	654
18	12	652
19	13	646
20	13	642
21	14	637
22	14	636
23	15	632
24	16	630
25	16	628
26	17	628
27	18	627
28	18	624
29	19	624
30	19	624
31	20	624
32	21	625
33	21	625
34	22	624
35	23	624
36	23	623
37	24	625
38	25	622
39	25	620
40	26	618
41	27	617
42	27	615
43	28	614
44	28	614
45	29	613
46	30	612
47	30	612
48	31	611
49	32	611
50	32	610
51	33	611
52	34	610
53	34	609
54	35	610
55	36	609
56	36	610
57	37	608
58	38	606
59	38	604
60	39	602
61	39	601
62	40	600
63	41	600
64	41	599
65	42	598
66	42	597
67	43	596
68	44	596
69	44	595
70	45	595
71	46	595
72	46	594
73	47	594
74	48	593
75	48	594
76	49	592
77	49	590
78	50	589
79	51	588
80	51	588
81	52	587
82	53	586
83	53	585
84	54	584
85	54	584
86	55	583
87	56	583
88	56	581
89	57	580
90	58	581
91	58	580
92	59	580
93	60	579
94	60	579
95	61	580
96	62	577
97	62	574
98	63	573
99	63	573
100	64	571
101	64	570
102	65	569
103	65	568
104	66	567
105	67	567
106	68	568
107	68	567
108	69	565
109	69	565
110	70	567
111	71	567
112	72	566
113	72	565
114	73	564
115	73	563
116	74	562
117	75	561
118	75	560
119	76	559
120	76	558
121	77	557
122	78	556
123	78	555
124	79	555
125	79	553
126	80	553
127	81	552
128	81	551
129	82	550
130	82	550
131	83	549
132	84	550
133	85	550
134	85	550
135	86	550
136	87	549
137	87	548
138	88	547
139	88	546
140	89	545
141	90	544
142	90	543
143	91	542
144	91	541
145	92	540
146	92	539
147	93	538
148	94	537
149	94	536
150	94	533
151	95	532
152	96	532
153	96	531
154	97	530
155	97	529
156	98	528
157	99	528
158	99	527
159	100	526
160	100	525
161	101	524
162	101	523
163	102	522
164	103	521
165	103	521
166	104	520
167	104	519
168	105	518
169	105	517
170	106	516
171	107	515
172	107	514
173	108	514
174	108	513
175	109	512
176	110	511
177	110	511
178	111	510
179	111	509
180	112	508
181	112	507
182	113	506
183	113	505
184	114	504
185	115	503
186	115	503
187	116	502
188	116	501
189	117	500
190	118	500
191	118	499
192	119	498
193	119	498
194	120	497
195	121	496
196	121	496
197	122	495
198	123	495
199	123	494
200	124	493
201	124	492
202	125	491
203	125	490
204	126	490
205	126	489
206	127	488
207	128	487
208	128	486
209	129	486
210	129	485
211	130	484
212	131	484
213	131	483
214	132	482
215	132	482
216	133	481
217	134	481
218	134	480
219	135	479
220	136	479
221	136	478
222	137	477
223	137	476
224	138	475
225	138	475
226	139	474
227	139	473
228	140	472
229	141	472
230	141	471
231	142	470
232	142	470
233	143	469
234	144	468
235	144	468
236	145	467
237	145	466
238	146	465
239	146	465
240	147	464
241	148	463
242	148	462
243	149	461
244	149	461
245	150	460
246	150	459
247	151	458
248	151	458
249	152	457
250	153	456
251	153	456
252	154	455
253	154	454
254	155	454
255	156	453
256	156	453
257	157	452
258	157	451
259	158	451
260	159	450
261	159	450
262	160	449
263	160	448
264	161	447
265	162	447
266	162	446
267	163	445
268	163	445
269	164	444
270	165	443
271	165	443
272	166	442
273	166	442
274	167	441
275	168	440
276	168	440
277	169	439
278	169	439
279	170	438
280	171	438
281	171	437
282	172	436
283	173	436
284	173	435
285	174	434
286	174	434
287	175	433
288	175	432
289	176	432
290	177	431
291	177	430
292	178	430
293	178	429
294	179	429
295	180	428
296	180	428
297	181	427
298	182	426
299	182	426
300	183	425
301	183	425
302	184	424
303	185	423
304	185	422
305	186	422
306	186	421
307	187	420
308	187	420
309	188	419
310	189	419
311	189	418
312	190	417
313	191	417
314	191	416
315	192	416
316	192	415
317	193	415
318	194	414
319	194	413
320	195	413
321	196	413
322	196	412
323	197	411
324	197	410
325	198	410
326	198	409
327	199	408
328	200	408
329	200	407
330	201	406
331	201	406
332	202	405
333	203	405
334	203	404
335	204	403
336	205	403
337	205	402
338	206	402
339	206	401
340	207	401
341	208	400
342	208	400
343	209	399
344	210	399
345	210	398
346	211	398
347	212	397
348	212	396
349	213	395
350	213	395
351	214	394
352	214	393
353	215	393
354	216	392
355	216	391
356	217	391
357	217	390
358	218	389
359	219	389
360	219	388
361	220	387
362	220	387
363	221	386
364	222	386
365	222	385
366	223	384
367	223	384
368	224	383
369	225	383
370	225	382
371	226	382
372	227	381
373	227	380
374	228	380
375	228	379
376	229	378
377	229	378
378	230	377
379	231	377
380	231	376
381	232	375
382	232	375
383	233	374
384	234	374
385	234	373
386	235	372
387	235	372
388	236	371
389	237	370
390	237	370
391	238	369
392	239	369
393	239	368
394	240	367
395	240	367
396	241	366
397	241	365
398	242	365
399	243	364
400	243	364
401	244	363
402	244	362
403	245	362
404	246	361
405	246	360
406	247	360
407	247	359
408	248	358
409	248	358
410	249	357
411	249	356
412	250	356
413	251	355
414	251	355
415	252	354
416	253	353
417	253	353
418	254	352
419	254	351
420	255	351
421	255	350
422	256	349
423	257	349
424	257	348
425	258	347
426	258	347
427	259	346
428	260	346
429	260	345
430	261	345
431	261	344
432	262	343
433	263	343
434	264	342
435	264	342
436	265	341
437	265	341
438	266	340
439	266	339
440	267	339
441	268	338
442	268	337
443	269	337
444	269	336
445	270	335
446	270	335
447	271	334
448	272	333
449	272	333
450	273	332
451	273	331
452	274	331
453	274	330
454	275	329
455	276	329
456	276	328
457	277	327
458	277	327
459	278	326
460	278	325
461	279	325
462	279	324
463	280	324
464	281	323
465	281	322
466	282	322
467	282	321
468	283	321
469	284	320
470	284	319
471	285	319
472	286	318
473	286	318
474	287	317
475	288	317
476	288	316
477	289	315
478	289	315
479	290	314
480	290	313
481	291	313
482	291	312
483	292	311
484	293	311
485	293	310
486	294	309
487	294	309
488	295	308
489	295	308
490	296	307
491	297	306
492	297	306
493	298	305
494	299	305
495	299	304
496	300	303
497	300	303
498	301	302
499	302	302
500	302	301
501	303	300
502	303	300
503	304	299
504	304	298
505	305	298
506	306	297
507	306	297
508	307	296
509	307	295
510	308	295
511	309	294
512	309	294
513	310	293
514	311	292
515	311	292
516	312	291
517	312	290
518	313	290
519	313	289
520	314	289
521	314	288
522	315	287
523	316	287
524	316	286
525	317	285
526	317	285
527	318	284
528	319	284
529	319	283
530	320	283
531	321	282
532	321	281
533	322	281
534	322	280
535	323	279
536	323	279
537	324	278
538	324	277
539	325	277
540	325	276
541	326	275
542	327	275
543	327	274
544	328	274
545	328	273
546	329	272
547	330	272
548	330	271
549	331	270
550	331	270
551	332	269
552	332	269
553	333	268
554	333	267
555	334	267
556	335	266
557	335	265
558	336	265
559	336	264
560	337	263
561	337	263
562	338	262
563	338	262
564	339	261
565	340	260
566	340	260
567	341	259
568	341	259
569	342	258
570	343	257
571	343	257
572	344	256
573	345	256
574	345	255
575	346	254
576	346	254
577	347	253
578	348	253
579	348	252
580	349	251
581	349	251
582	350	250
583	351	250
584	351	249
585	352	248
586	352	248
587	353	247
588	354	247
589	354	246
590	355	245
591	356	245
592	356	244
593	357	244
594	357	243
595	358	243
596	359	242
597	359	241
598	360	241
599	360	240
600	361	239
601	362	239
602	362	238
603	363	238
604	363	237
605	364	236
606	364	236
607	365	235
608	366	235
609	366	234
610	367	233
611	367	233
612	368	232
613	368	231
614	369	231
615	370	230
616	370	230
617	371	229
618	371	228
619	372	228
620	372	227
621	373	227
622	374	226
623	374	225
624	375	225
625	376	224
626	376	224
627	377	223
628	377	222
629	378	222
630	379	221
631	379	221
632	380	220
633	380	219
634	381	219
635	382	218
636	382	218
637	383	217
638	383	216
639	384	216
640	384	215
641	385	214
642	386	214
643	386	213
644	387	213
645	387	212
646	388	211
647	389	211
648	389	210
649	390	210
650	390	209
651	391	208
652	392	208
653	392	207
654	393	207
655	393	206
656	394	205
657	394	205
658	395	204
659	396	204
660	396	203
661	397	202
662	397	202
663	398	201
664	399	201
665	399	200
666	400	199
667	400	199
668	401	198
669	402	198
670	402	197
671	403	196
672	403	196
673	404	195
674	405	195
675	405	194
676	406	193
677	406	193
678	407	192
679	407	191
680	408	191
681	408	190
682	409	190
683	410	189
684	410	188
685	411	188
686	411	187
687	412	187
688	412	186
689	413	185
690	414	185
691	414	184
692	415	183
693	415	183
694	416	182
695	417	182
696	417	181
697	418	180
698	418	180
699	419	179
700	419	179
701	420	178
702	421	177
703	421	177
704	422	176
705	423	176
706	423	175
707	424	175
708	425	174
709	425	173
710	426	173
711	426	172
712	427	172
713	428	171
714	428	170
715	429	170
716	430	169
717	430	169
718	431	168
719	432	168
720	432	167
721	433	166
722	434	166
723	434	165
724	435	165
725	436	164
726	436	163
727	437	163
728	437	162
729	438	162
730	439	161
731	439	160
732	440	160
733	440	159
734	441	159
735	442	158
736	442	158
737	443	157
738	444	156
739	444	156
740	445	155
741	446	155
742	446	154
743	447	153
744	448	153
745	448	152
746	449	152
747	450	151
748	450	151
749	451	150
750	451	149
751	452	149
752	453	148
753	453	148
754	454	147
755	455	147
756	456	146
757	457	145
758	457	145
759	458	144
760	459	144
761	459	143
762	460	142
763	460	142
764	461	141
765	462	141
766	462	140
767	463	139
768	463	139
769	464	138
770	464	138
771	465	137
772	466	136
773	466	136
774	467	135
775	468	135
776	469	134
777	470	134
778	470	133
779	471	132
780	471	132
781	472	131
782	473	131
783	473	130
784	474	129
785	474	129
786	475	128
787	475	128
788	476	127
789	477	126
790	477	126
791	478	125
792	479	125
793	479	124
794	481	124
795	481	123
796	482	122
797	483	122
798	484	121
799	484	121
800	485	120
801	485	119
802	486	119
803	486	118
804	487	118
805	488	117
806	488	116
807	489	116
808	489	115
809	490	115
810	491	114
811	491	113
812	492	113
813	493	112
814	494	112
815	494	111
816	495	110
817	495	110
818	496	109
819	497	109
820	497	108
821	498	107
822	498	107
823	499	106
824	499	106
825	500	105
826	501	104
827	501	104
828	502	103
829	503	103
830	503	102
831	504	101
832	505	101
833	506	100
834	506	100
835	507	99
836	508	98
837	508	98
838	509	97
839	509	97
840	510	96
841	510	95
842	511	95
843	512	94
844	512	94
845	513	93
846	513	92
847	514	92
848	515	91
849	516	91
850	517	90
851	518	90
852	518	89
853	519	88
854	520	88
855	520	87
856	521	87
857	522	86
858	522	85
859	523	85
860	524	84
861	524	83
862	525	83
863	525	82
864	526	82
865	527	81
866	528	81
867	529	80
868	529	79
869	530	79
870	530	78
871	531	78
872	532	77
873	532	76
874	533	76
875	533	75
876	534	74
877	535	74
878	535	73
879	536	73
880	536	72
881	537	71
882	537	71
883	538	70
884	539	70
885	540	69
886	541	68
887	541	68
888	542	67
889	543	67
890	543	66
891	544	65
892	544	65
893	545	64
894	546	64
895	546	63
896	547	62
897	547	62
898	548	61
899	548	60
900	549	60
901	550	59
902	550	59
903	551	58
904	552	58
905	553	57
906	554	56
907	554	56
908	555	55
909	555	54
910	556	54
911	557	53
912	557	53
913	558	52
914	558	51
915	559	51
916	559	50
917	560	50
918	561	49
919	561	48
920	562	48
921	562	47
922	563	47
923	564	46
924	565	45
925	566	45
926	567	44
927	568	44
928	568	43
929	569	42
930	570	42
931	570	41
932	571	41
933	571	40
934	572	39
935	572	39
936	573	38
937	574	37
938	574	37
939	575	36
940	576	36
941	576	35
942	577	34
943	578	34
944	579	33
945	579	33
946	580	32
947	580	31
948	581	31
949	581	30
950	582	30
951	583	29
952	583	28
953	584	28
954	584	27
955	585	26
956	586	26
957	586	25
958	587	25
959	588	24
960	589	23
961	589	23
962	590	22
963	590	22
964	591	21
965	591	20
966	592	20
967	593	19
968	593	18
969	594	18
970	594	17
971	595	17
972	596	16
973	596	15
974	597	15
975	597	14
976	598	14
977	599	13
978	599	12
979	600	12
980	600	11
981	601	11
982	602	10
983	602	9
984	603	9
985	604	8
986	604	7
987	605	7
988	606	6
989	606	6
990	607	5
991	608	4
992	608	4
993	609	3
994	609	3
995	610	2
996	611	1
997	611	1
998	612	0
999	612	0
